NaceCodeGroup,NaceDescription_FR,JuridicalForm,JuridicalForm_FR,EnterpriseCount
95,"Réparation et entretien d’ordinateurs, de biens personnels et domestiques et d’automobiles et motocycles",12.0,,316
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles; fabrication d’articles en vannerie et sparterie",12.0,,315
73,"Activités de publicité, d’études de marché et de relations publiques",30.0,,314
15,"Fabrication de cuir, d’articles en cuir et de produits similaires dans d’autres matières",14.0,,313
33,"Réparation, entretien et installation de machines et d’équipements",11.0,,312
47,Commerce de détail,8.0,,309
55,Hébergement,612.0,,307
91,"Bibliothèques, archives, musées et autres activités culturelles",610.0,,307
78,Activités liées à l’emploi,15.0,,305
77,Activités de location et location-bail,3.0,,304
77,Activités de location et location-bail,12.0,,299
69,Activités juridiques et comptables,721.0,,296
62,"Programmation, conseil et autres activités informatiques",17.0,,293
85,Enseignement,999.0,,292
53,Activités de poste et de courrier,612.0,,291
37,Collecte et traitement des eaux usées,610.0,,289
81,Activités de services pour les bâtiments et l’aménagement paysager,721.0,,281
61,Télécommunications,15.0,,276
17,Industrie du papier et du carton,610.0,,275
29,Industrie automobile,14.0,,274
55,Hébergement,11.0,,273
75,Activités vétérinaires,612.0,,273
25,"Fabrication de produits métalliques, à l’exception des machines et des équipements",11.0,,272
10,Industries alimentaires,612.0,,269
71,Activités d’architecture et d’ingénierie; activités de contrôle et analyses techniques,17.0,,268
10,Industries alimentaires,11.0,,266
86,Activités pour la santé humaine,14.0,,261
94,Activités des organisations associatives,,,261
87,Activités de soins en établissement résidentiel,14.0,,260
30,Fabrication d’autres matériels de transport,,,258
43,Travaux de construction spécialisés,8.0,,257
66,Activités auxiliaires d’activités de services financiers et d’assurance,11.0,,257
65,"Assurance, réassurance et fonds de pension, à l’exclusion de la sécurité sociale obligatoire",610.0,,255
64,"Activités de services financiers, hors assurance et fonds de pension",30.0,,254
31,Fabrication de meubles,612.0,,252
37,Collecte et traitement des eaux usées,,,252
28,Fabrication de machines et équipements nca,15.0,,251
18,Imprimerie et reproduction d’enregistrements,11.0,,248
41,Construction de bâtiments résidentiels et non résidentiels,12.0,,244
86,Activités pour la santé humaine,3.0,,243
82,"Activités de service de bureau, de soutien administratif et d’autre soutien aux entreprises",125.0,,241
79,"Activités d’agence de voyage, de voyagiste, de service de réservation et de services connexes",14.0,,240
85,Enseignement,721.0,,238
47,Commerce de détail,706.0,,237
41,Construction de bâtiments résidentiels et non résidentiels,3.0,,236
